ID,InDegree,OutDegree,TotalPosts,MeanWordCount,LikeRate,PercentQuestions,PercentURLs,MeanPostsPerThread,InitiationRatio,MeanPostsPerSubForum,PercBiNeighbours,AccountAge
0,53,54,83,63,0.759036,0.325301,0.072289,1.596154,0.192308,9.222222,0.289157,108
1,25,25,67,151,0.089552,0.104478,0.074627,2.913043,0.826087,67,0.351351,54
2,4,3,4,65,0.25,0,0,2,0.5,2,0,55
3,79,84,191,33,0.837696,0.157068,0.036649,1.929293,0.111111,14.692308,0.405172,43
4,2,3,3,25,0,0.333333,0,1,0,1.5,0.25,89
5,5,1,3,46,0.666667,0.333333,0.333333,1,0.666667,1.5,0,30
6,22,32,40,122,0.475,0.525,0,2,0.15,5,0.317073,82
7,5,8,9,60,0.111111,0.444444,0,1.5,0.166667,4.5,0.083333,81
8,12,12,19,131,0.631579,0.684211,0,1.9,0.1,3.8,0.263158,7
9,14,14,19,40,0.368421,0.526316,0,2.375,0,4.75,0.333333,79
10,2,2,2,17,0.5,0,0,1,0,1,0,44
11,3,4,4,154,0,1,0,4,0,4,0.166667,24
12,55,54,155,136,0.103226,0.522581,0.077419,2.672414,0.224138,19.375,0.472973,87
13,28,27,41,384,1.560976,0.439024,0.02439,3.153846,0.153846,4.555556,0.27907,92
14,5,2,7,20,0.142857,0.142857,0,1.4,0.8,1.4,0.166667,30
15,0,2,2,18,2,0,0,1,0,1,0,16
16,2,1,2,17,0,0,0,1,0,1,0,87
17,18,21,69,167,0,0.57971,0.014493,23,0.333333,34.5,0.772727,17
18,3,1,4,121,3.25,0.25,0,2,0.5,2,0,71
19,60,70,107,53,0.205607,0.261682,0,1.103093,0.134021,17.833333,0.340206,77
20,24,29,48,126,0.583333,0.416667,0.041667,3.428571,0.071429,8,0.472222,94
21,1,1,1,7,0,1,0,1,0,1,0,53
22,54,67,111,72,1.405405,0.324324,0.009009,1.881356,0,11.1,0.359551,4
23,30,23,113,173,0.716814,0.212389,0,1.07619,0.838095,12.555556,0.177778,28
24,2,2,3,95,0.333333,0,0,1.5,0,1.5,0,104
25,7,2,8,44,0.125,0,0,2,0,8,0,97
26,13,13,13,112,0.615385,0.538462,0,2.166667,0,2.6,0.181818,92
27,1,3,2,17,0.5,0,0,2,0,2,0,70
28,1,0,2,171,0.5,0,0,1,1,2,0,45
29,219,229,925,58,1.303784,0.24973,0.069189,2.591036,0.347339,54.411765,0.555556,56
30,53,65,107,43,0.616822,0.168224,0.028037,2.276596,0.042553,8.916667,0.282609,64
31,157,192,449,63,1.316258,0.331849,0.013363,2.427027,0,29.933333,0.510823,103
32,3,1,2,157,0,0.5,0,2,0,2,0.333333,5
33,4,3,4,48,0.25,0.25,0,1,0.25,4,0.4,42
34,84,96,153,51,0.699346,0.143791,0.013072,1.342105,0.026316,51,0.463415,38
35,10,6,15,337,0.533333,0.266667,0,1.5,0.6,3,0.230769,92
36,6,6,6,81,0.166667,0.5,0,2,0,3,0.2,96
37,11,15,23,56,0.434783,0.217391,0,1.352941,0.176471,11.5,0.083333,80
38,22,18,24,48,0.75,0.416667,0.125,1.090909,0.090909,4.8,0.212121,80
39,20,25,33,46,0.212121,0.454545,0,2.75,0.083333,5.5,0.451613,11
40,1,1,2,349,0,1,0,1,0.5,1,1,7
41,6,4,40,69,0.95,0.05,0,1.666667,0.916667,20,0.25,47
42,4,3,6,52,0,0.166667,0,2,0.333333,2,0.4,11
43,2,2,2,24,0,0,0,2,1,2,0.333333,38
44,6,9,16,31,0,0.3125,0.0625,16,1,16,0.5,94
45,5,5,10,28,0,0.3,0.1,10,1,10,0.25,81
46,60,55,142,51,0.84507,0.260563,0.014085,2.491228,0.192982,14.2,0.337209,4
47,51,73,130,106,0.592308,0.215385,0.015385,1.805556,0.055556,9.285714,0.44186,36
48,1,1,1,72,0,1,0,1,0,1,0,75
49,2,4,5,210,0.4,0.2,0.2,1.666667,0,2.5,0.2,11
50,19,26,23,118,1.086957,0.434783,0.043478,1.277778,0,2.875,0.216216,20
51,11,7,10,18,1.7,0,0,1.428571,0.142857,2.5,0,35
52,3,4,5,30,1.6,0,0,1.666667,0,2.5,0.4,88
53,43,39,52,43,1.25,0.307692,0.038462,1.529412,0.205882,4.727273,0.301587,33
54,29,26,37,156,1.162162,0.27027,0,1.761905,0.190476,4.111111,0.309524,6
55,4,5,9,44,0.111111,0.444444,0,2.25,0.5,4.5,0.5,67
56,35,25,56,88,0.767857,0.392857,0,2.153846,0.230769,4.307692,0.333333,81
57,29,28,42,48,0.404762,0.452381,0.02381,1.68,0.08,3.818182,0.23913,43
58,6,8,8,18,0.25,0,0,1,0.125,1.6,0.076923,91
59,38,37,61,53,0.901639,0.229508,0.032787,1.605263,0.289474,6.777778,0.25,3
60,2,2,2,69,1.5,0,0,1,0,1,0,37
61,13,9,12,38,1.666667,0.333333,0,2,0,4,0.294118,26
62,215,206,889,47,0.76153,0.253093,0.08099,2.262087,0.249364,46.789474,0.60076,72
63,6,10,10,27,0.5,0.2,0,1.111111,0,1.666667,0.142857,48
64,129,133,438,31,0.378995,0.424658,0.015982,2.789809,0.031847,27.375,0.541176,20
65,10,8,22,34,0.636364,0.181818,0,2.444444,0.666667,7.333333,0.384615,62
66,13,13,18,55,0.611111,0.333333,0,1.384615,0,3,0.181818,45
67,100,110,322,146,1.397516,0.279503,0.043478,2.576,0.224,21.466667,0.5,67
68,1,1,2,191,0.5,0,0.5,1,0.5,2,1,23
69,115,119,314,134,0.773885,0.420382,0.019108,2.136054,0.034014,16.526316,0.392857,14
70,4,4,5,118,0.2,0.4,0,1.666667,0.666667,2.5,0.333333,98
71,14,20,18,28,0.5,0.222222,0,1.125,0,2,0.172414,87
72,58,58,93,60,1.107527,0.311828,0.032258,1.9375,0.0625,10.333333,0.333333,69
73,9,9,12,62,0.166667,0.25,0,1.090909,0.363636,4,0.2,105
74,80,77,136,124,1.382353,0.338235,0.044118,2.472727,0.036364,19.428571,0.401786,79
75,3,2,2,72,0,1,0,2,1,2,0.25,95
76,139,142,390,88,1.676923,0.274359,0.064103,2.096774,0.360215,27.857143,0.527174,97
77,30,29,66,235,0.363636,0.121212,0.030303,1.65,0.6,8.25,0.204082,44
78,53,54,95,88,1.715789,0.115789,0.052632,4.130435,0.391304,13.571429,0.445946,1
79,1,0,3,122,0,0,0.333333,1.5,1,3,0,37
80,1,2,2,171,0,1,0,1,0.5,1,0,42
81,3,2,5,85,0,0.2,0.4,2.5,0.5,5,0.25,2
82,14,8,21,42,0.142857,0.285714,0,2.1,1,7,0.294118,39
83,5,6,7,5,0.142857,0.285714,0,1,0,1,0,44
84,109,121,221,39,1.004525,0.38009,0.0181,1.713178,0.077519,14.733333,0.446541,101
85,20,22,20,132,0,0.25,0,1.538462,0,20,0.3125,2
86,40,43,168,96,0.494048,0.095238,0.035714,2.8,0.733333,84,0.482143,80
87,2,3,3,43,0,0.666667,0,3,0,3,0.25,2
88,2,0,1,204,0,0,0,1,0,1,0,90
89,49,46,144,86,0.159722,0.638889,0.1875,16,0.111111,24,0.484375,42
90,3,6,10,13,0,0,0,1,0,2.5,0,94
91,31,30,47,57,0.680851,0.170213,0.021277,1.62069,0.206897,4.272727,0.22,29
92,3,1,3,16,0,0.333333,0,1.5,1,1.5,0.333333,22
93,3,2,2,65,1,0.5,0,1,0,2,0,7
94,27,28,43,106,0.697674,0.418605,0.023256,1.592593,0.333333,4.3,0.25,105
95,102,92,195,137,1.046154,0.2,0.020513,1.666667,0.08547,15,0.437037,108
96,6,7,7,152,0.285714,0.428571,0.142857,2.333333,0.333333,7,0.181818,62
97,23,21,33,31,0.151515,0.545455,0,1.941176,0.411765,6.6,0.257143,9
98,20,16,37,194,1.297297,0.378378,0.081081,1.85,0.6,7.4,0.125,69
99,148,163,580,66,0.644828,0.106897,0.034483,2.396694,0.070248,36.25,0.570707,90
100,12,7,45,1234,0.844444,0.555556,0.111111,1.875,0.75,45,0.266667,8
101,1,1,1,12,0,0,0,1,0,1,0,91
102,6,7,14,41,0.785714,0.071429,0.071429,3.5,0.25,4.666667,0.181818,61
103,2,2,16,57,0.25,0,0.4375,2,1,16,1,68
104,156,154,582,99,0.536082,0.149485,0.006873,3.306818,0.096591,36.375,0.597938,84
105,24,16,28,42,0.535714,0.321429,0.035714,1.4,0.45,5.6,0.25,70
106,87,91,222,123,0.234234,0.279279,0,5.55,0.05,27.75,0.618182,72
